Expression,FREQ,SEM,MEAN,SEM,NDEC,DEC,ABDEC,NRDEC,PRED,LIT,SEM
A piece of cake,,,,,,,,,,,
Add fuel to the fire,,,,,,,,,,,
Armed to the teeth,,,,,,,,,,,
Back of one's mind,,,,,,,,,,,
Back to square one,,,,,,,,,,,
Be a wet blanket,,,,,,,,,,,
Be on cloud nine,,,,,,,,,,,
Be the cat's whiskers,,,,,,,,,,,
Be the spitting image,,,,,,,,,,,
Beat to the punch,,,,,,,,,,,
Beg the question,,,,,,,,,,,
Behind the times,,,,,,,,,,,
Below the belt,,,,,,,,,,,
Bet your bottom dollar,,,,,,,,,,,
Bite someone's head off,,,,,,,,,,,
Bite the bullet,,,,,,,,,,,
Bite the dust,,,,,,,,,,,
Blow someone's mind,,,,,,,,,,,
Blow to kingdom come,,,,,,,,,,,
Blow your top,,,,,,,,,,,
Born with a silver spoon,,,,,,,,,,,
Break the ice,,,,,,,,,,,
Bring home the bacon,,,,,,,,,,,
Burn the midnight oil,,,,,,,,,,,
Bury the hatchet,,,,,,,,,,,
Bust a gut,,,,,,,,,,,
Button your lips,,,,,,,,,,,
By word of mouth,,,,,,,,,,,
Call the shots,,,,,,,,,,,
Can't believe my ears,,,,,,,,,,,
Carry a torch,,,,,,,,,,,
Cash in your chips,,,,,,,,,,,
Chew the fat,,,,,,,,,,,
Clear the air,,,,,,,,,,,
Climb on the band wagon,,,,,,,,,,,
Come up roses,,,,,,,,,,,
Cook his goose,,,,,,,,,,,
Cool his heels,,,,,,,,,,,
Cost an amand a leg,,,,,,,,,,,
Cover up one's tracks,,,,,,,,,,,
Crack a joke,,,,,,,,,,,
Crack the whip,,,,,,,,,,,
Cramp someone's style,,,,,,,,,,,
Dance to another tune,,,,,,,,,,,
Dressed to kill,,,,,,,,,,,
Drive a hard bargain,,,,,,,,,,,
Eat his words,,,,,,,,,,,
Face the music,,,,,,,,,,,
Fall from grpce,,,,,,,,,,,
Fall on deaf ears,,,,,,,,,,,
Feather one's nest,,,,,,,,,,,
Fish out of water,,,,,,,,,,,
Fit as a fiddle,,,,,,,,,,,
Flash in the pan,,,,,,,,,,,
Food for thought,,,,,,,,,,,
Foot the bill,,,,,,,,,,,
Force someone's hand,,,,,,,,,,,
Frighten out of one's wits,,,,,,,,,,,
Frog in one's throat,,,,,,,,,,,
Get the eye,,,,,,,,,,,
Get the picture,,,,,,,,,,,
Get your goat,,,,,,,,,,,
Give it a whirl,,,,,,,,,,,
Give plenty of rope,,,,,,,,,,,
Give the cold shoulder,,,,,,,,,,,
Give the creeps,,,,,,,,,,,
Give the sack,,,,,,,,,,,
Give the willies,,,,,,,,,,,
Go against the grain,,,,,,,,,,,
Go the whole hog,,,,,,,,,,,
Go to pieces,,,,,,,,,,,
Grease the wheels,,,,,,,,,,,
Handle with kid gloves,,,,,,,,,,,
Have a fling,,,,,,,,,,,
Have an axe to grind,,,,,,,,,,,
Have cold feet,,,,,,,,,,,
Have egg on your face,,,,,,,,,,,
He hit the jackpot,,,,,,,,,,,
Hit the sack,,,,,,,,,,,
Hit the sauce,,,,,,,,,,,
Hold your horses,,,,,,,,,,,
Horse of another color,,,,,,,,,,,
In a pickle,,,,,,,,,,,
In hot water,,,,,,,,,,,
In seventh heaven,,,,,,,,,,,
In the nick of time,,,,,,,,,,,
Jump the gun,,,,,,,,,,,
Keep a level head,,,,,,,,,,,
Keep an ace up your sleeve,,,,,,,,,,,
Kick the bucket,,,,,,,,,,,
Kick up your heels,,,,,,,,,,,
Lay down the law,,,,,,,,,,,
Lead up a blind alley,,,,,,,,,,,
Learn by heart,,,,,,,,,,,
Learn the ropes,,,,,,,,,,,
Lend an ear,,,,,,,,,,,
Let the cat out of the bag,,,,,,,,,,,
Letter of the law,,,,,,,,,,,
Lie through one's teeth,,,,,,,,,,,
Long arm of the law,,,,,,,,,,,
Lose face,,,,,,,,,,,
Lose one's touch,,,,,,,,,,,
Lose your cool,,,,,,,,,,,
Lose your grip,,,,,,,,,,,
Make a clean sweep,,,,,,,,,,,
Make a pass,,,,,,,,,,,
Make no bones about,,,,,,,,,,,
Make the scene,,,,,,,,,,,
Miss the boat,,,,,,,,,,,
Nip in the bud,,,,,,,,,,,
Nurse a grudge,,,,,,,,,,,
Out of the blue,,,,,,,,,,,
Out of thin air,,,,,,,,,,,
Over the hill,,,,,,,,,,,
Pack a punch,,,,,,,,,,,
Paint the town,,,,,,,,,,,
Par for the course,,,,,,,,,,,
Pass the buck,,,,,,,,,,,
Pay lip service,,,,,,,,,,,
Pay through the nose,,,,,,,,,,,
Play by ear,,,,,,,,,,,
Play the market,,,,,,,,,,,
Play with fire,,,,,,,,,,,
Pop the question,,,,,,,,,,,
Pour one's heart out,,,,,,,,,,,
Praise to the skies,,,,,,,,,,,
Pull someone's leg,,,,,,,,,,,
Pull the plug,,,,,,,,,,,
Put the screws on,,,,,,,,,,,
Rack one's brains,,,,,,,,,,,
Raise the roof,,,,,,,,,,,
Rake over the coals,,,,,,,,,,,
Read between the lines,,,,,,,,,,,
Ride the storm,,,,,,,,,,,
Rise to the bait,,,,,,,,,,,
Rule of thumb,,,,,,,,,,,
Rule with an iron fist,,,,,,,,,,,
Run into the ground,,,,,,,,,,,
Save your skin,,,,,,,,,,,
Scream blue murder,,,,,,,,,,,
Seal one's fate,,,,,,,,,,,
Shoot the breeze,,,,,,,,,,,
Shut your trap,,,,,,,,,,,
Sit on the fence,,,,,,,,,,,
Skate on thin ice,,,,,,,,,,,
Slip one's mind,,,,,,,,,,,
Speak your mind,,,,,,,,,,,
SpiII the beans,,,,,,,,,,,
Spin a yam,,,,,,,,,,,
Steal someone's thunder,,,,,,,,,,,
Steal the show,,,,,,,,,,,
Swallow one's pride,,,,,,,,,,,
Take someone to the cleaners,,,,,,,,,,,
Take the back seat,,,,,,,,,,,
Take the bull by the horns,,,,,,,,,,,
Take the cake,,,,,,,,,,,
Take with a grain of salt,,,,,,,,,,,
TaIk a mile a minute,,,,,,,,,,,
Throw the book at,,,,,,,,,,,
Throw to the wolves,,,,,,,,,,,
Tie the knot,,,,,,,,,,,
Tip of the iceberg,,,,,,,,,,,
Twist someone's arm,,,,,,,,,,,
Two peas in a pod,,,,,,,,,,,
Under someone's thumb,,,,,,,,,,,
Under the weather,,,,,,,,,,,
Upset the applecart,,,,,,,,,,,
Waste your breath,,,,,,,,,,,
Wear the pants,,,,,,,,,,,
With flying colors,,,,,,,,,,,
Would give the world,,,,,,,,,,,